id,x,y
001,1430.033,822.058
002,26.537,1052.166
003,1735.922,112.019
004,510.732,1998.566
005,1732.805,966.171
006,1199.632,1314.849
007,1300.775,1220.111
008,407.104,698.877
009,1349.446,1300.897
010,344.551,833.945
011,16.240,1560.136
012,392.578,1019.455
013,1202.479,172.050
014,1046.941,108.955
015,20.295,483.600
016,44.141,161.960
017,1715.230,493.345
018,1530.822,1025.628
019,1959.495,691.135
020,817.986,339.313
021,137.208,144.749
022,936.158,377.729
023,1003.771,1868.658
024,1959.784,1859.666
025,893.017,975.150
026,1081.101,1738.125
027,236.626,1826.927
028,74.848,514.162
029,1547.096,1970.966
030,1336.404,1690.200
031,1284.925,802.931
032,1258.950,980.892
033,1472.664,1551.598
034,484.621,359.582
035,132.929,1257.916
036,1520.873,362.770
037,509.267,1736.487
038,1215.929,938.352
039,1110.598,854.139
040,1488.385,206.223
041,1272.156,208.916
042,807.255,869.602
043,858.973,1128.849
044,513.489,399.898
045,1647.079,221.755
046,831.767,179.085
047,956.642,1537.151
048,1068.108,931.383
049,464.415,1445.328
050,1997.101,777.354
051,979.154,1078.651
052,259.783,1780.707
053,1462.044,1189.497
054,1242.039,1302.518
055,1081.338,384.181
056,1536.562,67.144
057,760.924,579.099
058,1471.125,364.752
059,649.164,1266.680
060,1214.037,1931.938
061,149.195,224.157
062,1304.886,1926.587
063,1398.236,261.047
064,965.177,412.785
065,1099.498,1389.729
066,668.905,535.331
067,51.573,1642.123
068,672.736,1473.799
069,951.134,1672.622
070,610.474,1797.717
071,994.150,462.438
072,1145.373,915.260
073,230.677,114.092
074,1060.733,1813.281
075,361.818,1088.473
076,1629.885,923.168
077,527.973,251.362
078,367.491,219.292
079,1686.010,845.302
080,1374.725,1265.796
081,761.270,1783.510
082,952.420,924.507
083,747.852,1727.646
084,19.603,995.322
085,1914.790,265.638
086,72.436,1114.056
087,1972.544,1371.500
088,1874.853,19.086
089,111.192,101.409
090,838.123,1282.309
091,522.913,1121.509
092,936.944,1513.842
093,95.698,103.629
094,1135.850,703.514
095,1907.587,1132.723
096,1324.632,1328.616
097,714.445,633.004
098,298.584,122.848
099,1682.688,53.440
100,710.653,137.067
