id,x,y
001,92.125,67.031
002,284.635,303.685
003,9.853,149.926
004,436.175,361.229
005,46.497,144.076
006,455.534,457.421
007,37.318,134.003
008,516.630,40.137
009,339.342,248.165
010,240.984,26.761
011,66.563,104.857
012,483.359,360.816
013,459.080,178.586
014,55.852,131.183
015,40.123,485.129
016,464.815,336.950
017,341.655,204.983
018,375.633,351.626
019,273.772,207.155
020,550.544,184.952
021,77.960,519.347
022,572.676,579.664
023,218.741,594.458
024,339.062,415.836
025,184.836,452.115
026,155.704,95.953
027,216.381,231.305
028,325.371,476.015
029,417.077,184.484
030,293.059,272.462
031,82.375,71.461
032,130.149,301.996
033,574.292,151.841
034,47.778,84.187
035,590.884,581.483
036,421.646,414.142
037,499.757,302.110
038,71.731,185.204
039,456.945,162.344
040,274.983,494.649
041,586.259,290.394
042,249.556,560.958
043,364.785,9.966
044,379.070,424.054
045,594.694,183.205
046,263.407,571.182
047,280.069,272.448
048,194.108,288.352
049,72.831,547.274
050,473.008,235.370
051,454.470,85.748
052,162.035,436.603
053,160.051,202.937
054,431.321,369.526
055,588.664,421.241
056,9.508,202.327
057,193.869,411.021
058,569.670,444.059
059,155.532,158.904
060,64.309,147.011
061,170.497,303.172
062,414.325,542.129
063,35.745,182.111
064,559.026,88.767
065,353.708,282.236
066,317.544,254.098
067,357.885,162.571
068,314.167,94.386
069,8.146,476.254
070,274.342,579.548
071,405.053,132.023
072,89.865,55.106
073,350.693,287.831
074,360.024,175.423
075,477.313,296.629
076,580.711,244.676
077,177.057,162.636
078,93.681,226.718
079,141.960,283.653
080,356.242,396.544
081,447.604,391.743
082,319.046,11.539
083,329.374,133.274
084,498.416,325.326
085,41.294,311.846
086,104.800,518.655
087,460.977,269.982
088,297.902,87.376
089,127.357,271.521
090,143.584,491.977
091,126.090,78.772
092,462.608,322.314
093,143.209,157.304
094,320.021,74.147
095,11.430,339.366
096,302.157,351.115
097,331.500,44.827
098,328.400,128.125
099,361.914,174.049
100,323.921,331.138
101,299.928,344.925
102,301.020,107.394
103,320.741,276.350
104,119.058,70.963
105,23.499,152.258
106,563.573,253.808
107,545.860,496.712
108,271.872,38.285
109,461.522,145.379
110,486.315,202.820
111,542.565,267.043
112,524.856,104.506
113,347.697,426.949
114,36.615,60.144
115,336.508,313.991
116,378.616,542.795
117,486.756,126.345
118,314.940,39.635
119,432.962,477.779
120,20.703,437.483
121,554.870,384.967
122,290.869,578.198
123,66.486,429.507
124,478.265,98.615
125,475.639,572.408
126,441.972,330.565
127,498.608,94.766
128,152.412,255.750
129,437.613,332.621
130,595.464,507.044
131,549.270,279.216
132,16.625,127.926
133,279.212,587.615
134,39.403,554.198
135,334.435,515.711
136,314.283,96.081
137,442.874,338.853
138,475.910,275.975
139,592.939,233.170
140,162.135,148.412
141,390.705,176.110
142,383.537,73.575
143,283.043,224.488
144,167.762,295.253
145,183.315,25.978
146,260.289,198.556
147,556.209,30.641
148,377.896,4.896
149,333.847,81.592
150,452.604,171.885
151,215.071,351.679
152,67.633,34.078
153,89.709,406.043
154,479.751,585.766
155,484.881,466.111
156,418.320,467.485
157,502.039,161.678
158,394.955,457.687
159,557.525,29.651
160,452.927,453.406
161,377.735,311.888
162,121.311,89.833
163,386.174,122.266
164,378.314,73.450
165,242.747,561.775
166,518.309,127.010
167,116.779,380.597
168,120.235,538.287
169,408.302,286.296
170,163.406,81.599
171,560.249,348.450
172,590.384,515.928
173,152.647,202.184
174,292.966,465.877
175,149.045,135.712
176,154.914,330.283
177,80.789,435.175
178,232.954,162.415
179,507.901,283.335
180,230.059,71.256
181,205.953,241.606
182,299.276,488.088
183,121.272,170.456
184,343.987,14.964
185,350.104,518.484
186,26.993,368.902
187,566.291,579.879
188,184.817,365.407
189,1.808,228.961
190,156.748,121.146
191,411.810,362.543
192,142.609,550.681
193,597.764,29.552
194,347.420,105.816
195,537.109,499.142
196,549.071,358.635
197,567.910,285.066
198,135.568,230.950
199,483.392,528.966
200,267.307,132.942
