id,x,y
01,240.901,356.808
02,113.174,256.117
03,149.735,121.56
04,157.386,58.159
05,104.409,294.703
06,169.12,38.397
07,114.17,290.697
08,206.034,336.235
09,237.69,229.247
10,354.432,135.344
11,370.492,280.648
12,316.4,187.109
13,347.195,158.961
14,139.782,387.355
15,202.239,393.163
16,335.968,353.148
17,145.335,352.809
18,169.552,342.2
19,89.756,132.686
20,313.698,153.326
21,28.777,309.418
22,232.377,277.415
23,183.514,298.939
24,121.231,119.056
25,227.582,179.144
26,34.942,324.772
27,186.387,250.539
28,302.69,268.609
29,265.806,220.878
30,163.758,297.376
