id,x,y
001,169.528,719.818
002,228.920,146.332
003,42.330,7.165
004,722.103,756.256
005,723.368,123.766
006,142.348,777.494
007,772.108,179.951
008,663.417,393.834
009,335.419,535.404
010,139.369,280.857
011,495.897,639.460
012,656.586,404.861
013,574.958,171.563
014,84.246,427.921
015,468.220,741.931
016,729.578,369.155
017,412.917,457.792
018,214.948,41.437
019,112.156,58.638
020,261.915,491.889
021,798.864,177.629
022,150.653,110.213
023,367.418,515.048
024,533.793,780.468
025,249.580,218.759
026,65.489,325.431
027,129.382,694.506
028,439.034,425.495
029,689.753,51.572
030,245.529,336.874
031,279.753,641.011
032,497.598,358.237
033,203.667,528.057
034,149.976,240.820
035,208.181,432.315
036,182.912,695.753
037,150.670,326.955
038,278.713,111.724
039,221.382,70.827
040,348.686,23.587
041,427.116,766.294
042,211.621,589.462
043,239.127,626.383
044,662.107,459.754
045,55.264,659.033
046,224.288,704.104
047,665.005,374.022
048,593.602,565.933
049,200.174,283.841
050,409.295,747.226
051,131.304,466.856
052,497.737,82.296
053,110.482,426.003
054,71.539,9.015
055,216.658,333.262
056,33.796,559.491
057,412.523,74.423
058,605.089,256.584
059,731.383,378.875
060,215.967,103.656
061,230.628,720.510
062,683.785,686.607
063,606.429,111.671
064,596.166,413.469
065,364.580,254.637
066,27.570,266.221
067,317.935,223.613
068,540.090,404.058
069,297.254,28.791
070,684.430,334.832
071,278.377,322.627
072,591.962,474.479
073,331.430,457.201
074,218.637,587.482
075,124.045,346.190
076,501.396,39.848
077,696.187,103.962
078,211.034,90.412
079,353.903,411.930
080,27.285,618.564
081,27.791,633.603
082,509.140,510.959
083,551.122,754.608
084,665.315,126.986
085,600.218,309.871
086,579.068,568.217
087,530.313,379.730
088,184.280,767.993
089,410.935,194.703
090,58.285,401.399
091,317.678,780.125
092,799.844,103.657
093,274.004,473.182
094,212.201,531.617
095,103.711,693.939
096,33.264,191.777
097,165.689,20.798
098,707.927,370.997
099,304.707,153.438
100,705.842,158.987
101,429.243,297.911
102,352.802,457.130
103,572.968,718.820
104,295.534,261.043
105,658.075,102.345
106,25.001,605.308
107,90.908,74.286
108,748.918,176.151
109,252.521,242.432
110,584.603,572.482
111,422.434,200.830
112,338.851,515.771
113,696.251,127.200
114,549.501,93.115
115,332.609,36.242
116,668.554,640.780
117,557.435,350.740
118,618.633,665.601
119,714.643,507.267
120,389.225,27.825
121,693.452,525.185
122,723.430,246.049
123,156.526,562.786
124,251.960,757.507
125,777.957,285.032
126,270.265,273.515
127,445.081,412.684
128,446.033,548.068
129,122.695,639.931
130,577.495,661.868
131,205.535,109.022
132,717.241,594.416
133,241.187,256.747
134,435.571,698.997
135,294.011,409.417
136,774.296,674.950
137,576.218,254.130
138,204.246,152.283
139,639.175,202.914
140,600.466,614.639
141,586.907,634.080
142,68.430,282.504
143,741.774,131.255
144,584.897,348.064
145,789.091,58.055
146,153.348,411.286
147,696.619,21.643
148,281.706,462.786
149,470.804,604.925
150,417.101,64.335
