id,x,y
001,352.737,458.636
002,8.248,123.390
003,195.934,137.125
004,126.283,156.714
005,436.515,591.673
006,6.737,520.589
007,85.059,322.876
008,134.146,109.161
009,169.406,242.001
010,79.444,152.023
011,568.843,187.749
012,344.859,144.676
013,218.128,317.719
014,263.417,48.772
015,2.786,405.124
016,203.558,375.925
017,271.898,54.873
018,573.807,243.143
019,12.156,300.498
020,304.925,31.019
021,51.898,269.680
022,37.750,227.430
023,112.167,583.515
024,504.838,205.957
025,285.811,487.311
026,454.240,155.665
027,415.909,535.039
028,197.251,438.441
029,28.088,492.564
030,438.492,570.648
031,23.799,434.780
032,534.525,542.659
033,115.888,142.216
034,432.911,579.691
035,382.760,344.188
036,321.549,393.997
037,257.343,61.405
038,597.531,282.105
039,260.874,158.991
040,63.286,142.455
041,74.179,85.447
042,520.851,3.515
043,140.597,473.399
044,415.861,27.855
045,39.709,218.586
046,58.424,449.521
047,321.633,325.617
048,441.380,119.410
049,33.814,287.635
050,246.975,80.510
051,195.765,377.783
052,426.511,266.838
053,261.059,484.513
054,201.109,264.131
055,115.527,326.114
056,65.680,292.022
057,226.998,325.911
058,517.109,181.969
059,119.639,39.364
060,337.871,35.618
061,76.286,184.509
062,444.069,447.997
063,25.510,203.108
064,112.100,173.242
065,350.442,597.111
066,25.738,426.397
067,240.180,281.353
068,159.186,593.927
069,194.985,192.286
070,108.079,173.512
071,99.600,285.976
072,293.433,260.520
073,389.583,203.812
074,219.268,251.155
075,411.568,12.693
076,307.718,209.359
077,530.225,326.121
078,573.231,399.808
079,153.863,62.903
080,31.161,346.021
081,237.118,119.409
082,394.691,407.282
083,334.262,364.855
084,546.961,454.971
085,336.399,517.616
086,417.552,546.460
087,574.930,372.015
088,215.800,399.494
089,28.019,194.822
090,213.638,378.303
091,462.158,288.776
092,375.193,209.061
093,32.626,155.672
094,326.188,350.562
095,565.086,407.727
096,108.157,599.504
097,538.591,110.512
098,299.808,35.838
099,265.470,68.012
100,305.806,570.802
