id,x,y
001,341.247,142.962
002,112.160,437.671
003,38.889,100.651
004,467.012,646.999
005,838.210,395.235
006,350.303,729.630
007,83.817,93.417
008,159.575,598.977
009,760.275,6.098
010,965.862,935.487
011,171.174,101.299
012,59.579,226.864
013,958.959,163.325
014,878.462,805.700
015,753.543,325.201
016,401.075,688.712
017,838.940,8.200
018,208.468,704.348
019,330.079,233.066
020,86.340,719.733
021,112.707,399.108
022,338.096,707.966
023,970.768,709.424
024,312.964,699.556
025,404.008,263.510
026,933.124,804.175
027,133.092,770.444
028,204.070,288.462
029,867.554,579.919
030,480.350,383.822
031,564.455,461.049
032,262.676,266.573
033,228.259,694.375
034,958.610,928.434
035,764.612,517.479
036,393.256,822.478
037,89.745,37.993
038,139.240,389.026
039,584.689,892.759
040,694.223,30.321
041,226.728,630.088
042,625.585,209.588
043,792.141,430.152
044,226.169,142.305
045,569.871,692.470
046,727.717,922.178
047,389.580,674.487
048,484.511,282.870
049,456.661,75.842
050,194.431,679.747
051,368.561,446.644
052,879.212,479.953
053,70.749,360.282
054,76.129,162.085
055,280.673,139.224
056,95.111,61.607
057,360.226,582.264
058,890.589,578.273
059,751.724,948.031
060,847.317,827.231
061,957.003,200.457
062,750.829,789.100
063,276.411,205.788
064,936.517,943.330
065,829.940,407.889
066,556.430,828.724
067,55.144,697.967
068,253.679,996.722
069,307.676,841.787
070,877.015,634.409
071,236.385,826.394
072,802.609,917.030
073,835.866,495.361
074,340.018,82.500
075,997.439,69.616
076,711.113,152.882
077,370.916,552.999
078,58.384,116.187
079,912.236,921.831
080,352.958,681.440
081,678.900,818.466
082,683.100,664.845
083,174.704,76.066
084,366.562,599.664
085,919.201,165.443
086,742.339,632.876
087,734.604,395.790
088,911.172,671.588
089,757.179,25.820
090,947.737,850.333
091,583.448,790.706
092,391.730,405.798
093,175.383,994.175
094,680.394,654.673
095,329.499,248.139
096,961.181,529.566
097,560.078,42.852
098,969.492,975.175
099,402.403,142.792
100,788.376,522.947
