id,x,y
001,1599.670,1837.201
002,1205.739,776.008
003,85.355,605.938
004,1969.285,451.757
005,880.442,1486.059
006,626.960,1445.203
007,1412.586,811.493
008,232.353,426.761
009,704.781,46.536
010,1249.514,557.758
011,312.981,1977.875
012,242.726,112.631
013,105.923,417.064
014,1543.170,91.137
015,249.520,87.249
016,27.999,473.057
017,360.356,866.504
018,980.492,1125.919
019,992.568,741.849
020,1038.931,159.759
021,82.304,671.394
022,222.101,1002.993
023,1532.150,740.278
024,1234.508,1493.638
025,543.780,1279.728
026,1335.885,1760.672
027,810.112,555.079
028,1192.549,1665.871
029,111.582,1166.904
030,1810.537,547.349
031,1435.487,1453.885
032,637.727,411.160
033,1450.335,1936.758
034,482.965,1327.233
035,1458.256,1024.540
036,1065.745,1548.508
037,1705.155,610.387
038,954.897,1162.146
039,1651.714,95.360
040,1109.647,668.891
041,1468.550,221.582
042,741.399,357.269
043,1739.778,1724.469
044,1489.044,711.027
045,1934.624,250.502
046,1765.414,874.929
047,1369.342,887.901
048,1253.527,513.963
049,306.399,94.964
050,1910.839,1312.630
