id,x,y
001,94.785,655.284
002,522.482,306.422
003,1.719,250.339
004,704.938,745.875
005,240.737,108.499
006,650.619,758.583
007,28.591,659.496
008,81.382,46.968
009,324.173,190.209
010,416.086,291.007
011,196.532,165.406
012,676.199,556.626
013,179.483,221.834
014,446.533,663.223
015,131.841,372.581
016,752.683,458.318
017,332.205,279.455
018,183.089,39.547
019,574.642,559.645
020,256.317,671.208
021,202.852,467.612
022,217.468,639.025
023,622.022,688.473
024,112.240,645.277
025,128.827,667.172
026,777.761,171.790
027,288.311,684.715
028,13.932,444.211
029,346.855,415.172
030,425.149,382.803
031,310.339,207.861
032,757.311,169.103
033,496.640,162.592
034,303.523,787.947
035,779.692,240.496
036,792.846,462.922
037,205.244,351.227
038,445.892,110.560
039,93.876,271.865
040,359.652,618.505
041,524.819,713.183
042,94.668,468.994
043,415.462,568.321
044,195.919,443.941
045,691.220,676.804
046,379.008,156.469
047,209.203,211.027
048,332.342,501.796
049,289.686,391.276
050,159.557,87.018
